[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] discount_enabled: YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] discount_type: regular, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] sc_pwd_count: 1, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END DISCOUNT DATA ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:warn] [pid 5348:tid 1896] [client ::1:54793] PHP Warning:  Undefined variable $room_price in C:\\xampp\\htdocs\\HMS\\confirm_booking.php on line 102, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === DISCOUNT CALCULATION ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] room_type: Premium 2 (Example Only), referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:warn] [pid 5348:tid 1896] [client ::1:54793] PHP Warning:  Undefined variable $room_price in C:\\xampp\\htdocs\\HMS\\confirm_booking.php on line 107, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] room_price: , referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.140961 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] guest_capacity: 4, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.140961 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] discount_per_guest: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.140961 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] sc_pwd_count: 1, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.140961 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] discount_amount: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.140961 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END DISCOUNT CALCULATION ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.140961 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === CONFIRM_BOOKING DEPOSIT DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.141519 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.141519 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit_cash: 2000, referer: http://localhost:8080/HMS/Booking.html
